Geslacht,BMI,Woon,StapEst,ErvFASub1[Q],ErvFASub2[Q],ErvFA,DagZwa1,TijdZwa1[Uur],TijdZwa1[Min],DagMat1,TijdMat1[Uur],TijdMat1[Min],DagWan1,TijdWan1[Uur],TijdWan1[Min],IPAQTOT1,TijdZit1[Uur],TijdZit1[Min],Attitu[1],Attitu[2],AttituTot,SocOmg[1],SocOmg[2],SocOmgTot,ZelfEff[1],ZelfEff[2],ZelfEff[3],ZelfEff[4],ZelfEff[5],ZelfEff[6],ZelfEff[7],ZelfEff[8],ZelfEff[9],ZelfEff[10],ZelfEffTot,BeweegRichtlijn,Systeem,StapAantal[1],StapAantal[2],StapAantal[3],StapAantal[4],StapAantal[5],StapAantal[6],StapAantal[7],Comment[1],Comment[2],Comment[3],Comment[4],Comment[5],Comment[6],Comment[7],DagZwa2,TijdZwa2[Uur],TijdZwa2[Min],DagMat2,TijdMat2[Uur],TijdMat2[Min],DagWan2,TijdWan2[Uur],TijdWan2[Min],IPAQTOT2,TijdZit2[Uur],TijdZit2[Min]
,23.0,Thuiswonend,4500.0,5.0,5.0,5.0,1.0,1.0,30.0,5.0,0.0,25.0,7.0,0.0,45.0,2259.5,10.0,0.0,6.0,5.0,5.5,6.0,6.0,6.0,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Zelden waar,Zelden waar,Altijd waar,Soms waar,Zelden waar,32.0,Nee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrouw,21.7,Uitwonend,7000.0,6.0,5.0,5.5,2.0,,30.0,7.0,1.0,,7.0,,20.0,2622.0,8.0,,7.0,7.0,7.0,6.0,5.0,5.5,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,36.0,Ja,smartphone,4825.0,385.0,2049.0,1020.0,3068.0,9936.0,6560.0,,,,,,,20 min workout,1.0,,20.0,6.0,,15.0,3.0,,20.0,718.0,10.0,
Man,22.3,Uitwonend,10000.0,4.0,6.0,5.0,4.0,1.0,50.0,3.0,1.0,30.0,7.0,0.0,50.0,5755.0,6.0,20.0,6.0,4.0,5.0,2.0,5.0,3.5,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,38.0,Ja,Telefoon,5900.0,7965.0,6490.0,8034.0,3413.0,6388.0,9657.0,,,,,,,,4.0,1.0,30.0,4.0,1.0,20.0,7.0,0.0,30.0,4853.0,7.0,30.0
Man,26.1,Thuiswonend,2000.0,0.0,0.0,0.0,7.0,2.0,30.0,0.0,,,7.0,8.0,0.0,19488.0,8.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,Helemaal niet waar,Altijd waar,Helemaal niet waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,34.0,Ja,smartphone,13402.0,15605.0,18367.0,2056.0,5023.0,21463.0,19643.0,,,,,,,,5.0,3.0,,7.0,2.0,20.0,7.0,1.0,,12506.0,8.0,
Vrouw,21.5,Uitwonend,8500.0,6.0,4.0,5.0,3.0,1.0,0.0,7.0,0.0,45.0,5.0,0.0,50.0,3525.0,5.0,0.0,5.0,7.0,6.0,5.0,5.0,5.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,36.0,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.5,,,3.0,5.0,4.0,3.0,1.0,30.0,3.0,1.0,,7.0,1.0,,4266.0,6.0,,7.0,7.0,7.0,2.0,4.0,3.0,Altijd waar,Altijd waar,Altijd waar,Soms waar,Zelden waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Zelden waar,35.0,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrouw,17.9,Thuiswonend,10000.0,6.0,6.0,6.0,4.0,1.0,30.0,7.0,1.0,30.0,7.0,1.0,,6786.0,4.0,,7.0,7.0,7.0,6.0,6.0,6.0,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,40.0,Ja,Met een garmin venu 3s horloge.,8003.0,5207.0,849.0,8359.0,17537.0,8533.0,11394.0,,,,,,,,3.0,1.0,0.0,2.0,1.0,0.0,6.0,0.0,45.0,2811.0,4.0,30.0
Man,20.7,Thuiswonend,9500.0,7.0,6.0,6.5,4.0,2.0,,3.0,3.0,,7.0,1.0,,7386.0,6.0,,6.0,6.0,6.0,2.0,6.0,4.0,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,34.0,Ja,Smartphone ,11196.0,12454.0,9668.0,12852.0,6746.0,5713.0,15268.0,,,,,,,,4.0,1.0,45.0,7.0,2.0,,7.0,1.0,30.0,8799.0,5.0,
Vrouw,18.8,Uitwonend,8000.0,4.0,5.0,4.5,2.0,4.0,0.0,5.0,2.0,0.0,5.0,1.0,30.0,7725.0,4.0,0.0,7.0,6.0,6.5,4.0,5.0,4.5,Altijd waar,Soms waar,Soms waar,Soms waar,Zelden waar,Zelden waar,Altijd waar,Soms waar,Soms waar,Zelden waar,29.0,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrouw,21.2,Uitwonend,8500.0,3.0,3.0,3.0,2.0,1.0,,2.0,1.0,,7.0,1.0,,2826.0,6.0,,6.0,6.0,6.0,6.0,4.0,5.0,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,39.0,Nee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrouw,218.0,Thuiswonend,7000.0,4.0,5.0,4.5,3.0,1.0,30.0,6.0,1.0,30.0,7.0,1.0,0.0,5706.0,7.0,,5.0,6.0,5.5,5.0,4.0,4.5,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,35.0,Nee,Smartphone,6542.0,8151.0,8568.0,2887.0,495.0,5285.0,9224.0,,,,,"Ja, ik heb de gehele dag thuis rondgelopen maar heb mijn telefoon telkens laten liggen. Dit waren telkens maar een paar minuten dat ik stappen aan het zetten was, maar dit is wel meerdere keren op de dag voorkomen. Naar mijn schatting minstens 20 keer.",,,4.0,1.0,,5.0,6.0,,4.0,0.0,20.0,9384.0,4.0,
Man,19.7,Thuiswonend,7000.0,5.0,6.0,5.5,4.0,1.0,30.0,3.0,0.0,30.0,6.0,0.0,40.0,4032.0,6.0,0.0,7.0,6.0,6.5,4.0,6.0,5.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,35.0,Nee,smartphone,1835.0,6053.0,12641.0,1843.0,3111.0,3987.0,4504.0,"ja (stappen tijdens werken horeca, 3 uur)","ja (stappen tijdens voetbaltraining, 1.5 uur)","ja (stappen tijdens werken horeca, 3 uur)","ja (stappen tijdens werken horeca, 4 uur)","ja (stappen tijdens werken horeca, 3 uur)",nee,"ja (stappen tijdens voetbalwedstrijd, 2 uur)",4.0,2.0,0.0,6.0,,,7.0,,,3840.0,7.0,0.0
Man,23.0,Thuiswonend,10000.0,5.0,5.0,5.0,3.0,2.0,0.0,4.0,1.0,,6.0,1.0,30.0,5622.0,4.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Zelden waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,34.0,Ja,smartphone,4674.0,7382.0,2412.0,7914.0,18700.0,6280.0,6538.0,,,,,,,,5.0,1.0,15.0,6.0,0.0,20.0,3.0,,15.0,3628.5,4.0,
